event_id,match_id,match_period,minute,second,match_timestamp,video_timestamp,primary_type,secondary_types,location_x,location_y,team_id,team_name,team_formation,opponent_team_id,opponent_team_name,opponent_team_formation,player_id,player_name,player_position,pass_accurate,pass_angle,pass_length,recipient_id,recipient_name,recipient_position,end_location_x,end_location_y,shot_body_part,is_goal,on_target,goal_zone,xg,post_shot_xg,goalkeeper_action_id,goalkeeper,opponent_id_ground_duel,opponent_name_ground_duel,opponent_position_ground_duel,duel_type_ground_duel,kept_possession_ground_duel,progressed_with_ball_ground_duel,stopped_progress_ground_duel,recovered_possession_ground_duel,take_on_ground_duel,side_ground_duel,related_duel_id_ground_duel,opponent_id_aerial_duel,opponent_name_aerial_duel,opponent_position_aerial_duel,opponent_height_aerial_duel,first_touch_aerial_duel,height_aerial_duel,related_duel_id_aerial_duel,yellow_card,red_card,infraction_type,opponent_id_infraction,opponent_name_infraction,opponent_position_infraction,carry_progression,end_location_x_carry,end_location_y_carry,possession_id,possession_duration,possession_types,events_number,event_index,start_location_x,start_location_y,end_location_x_possession,end_location_y_possession,team_id_possession,team_name_possession,team_formation_possession,with_shot,with_shot_on_goal,with_goal,flank,xg_possession
1723218246,5476240,1H,1,24,00:01:24.917,85.917336,pass,"back_pass, short_or_medium_pass",44,35,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,520698,T. Reijnders,LCMF3,True,167.0,14.0,291591.0,F. Tomori,LCB,31.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,5.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218247,5476240,1H,1,26,00:01:26.842,87.842542,pass,"lateral_pass, short_or_medium_pass",31,40,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,291591,F. Tomori,LCB,True,-70.0,12.0,344132.0,T. Hernández,LB,35.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,6.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218248,5476240,1H,1,29,00:01:29.812,90.812083,pass,short_or_medium_pass,35,23,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,344132,T. Hernández,LB,True,112.0,11.0,291591.0,F. Tomori,LCB,31.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,7.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218249,5476240,1H,1,32,00:01:32.470,93.47073,pass,"back_pass, short_or_medium_pass",31,38,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,291591,F. Tomori,LCB,True,164.0,24.0,134496.0,M. Maignan,GK,9.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,8.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218250,5476240,1H,1,34,00:01:34.563,95.563243,pass,"lateral_pass, short_or_medium_pass",9,48,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,134496,M. Maignan,GK,True,54.0,27.0,521375.0,M. Thiaw,RCB,24.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,9.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218251,5476240,1H,1,37,00:01:37.874,98.874903,pass,"forward_pass, short_or_medium_pass",24,81,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,521375,M. Thiaw,RCB,True,-11.0,21.0,26010.0,O. Giroud,CF,44.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,10.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218252,5476240,1H,1,39,00:01:39.978,100.9789,duel,"foul_suffered, ground_duel, linkup_play, offensive_duel",44,75,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,26010,O. Giroud,CF,,,,,,,,,,,,,,,,,523944.0,S. Beukema,RCB,offensive_duel,True,True,,,False,,1723218287.0,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,11.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218287,5476240,1H,1,39,00:01:39.987,100.98768,duel,"defensive_duel, ground_duel",56,25,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,523944,S. Beukema,RCB,,,,,,,,,,,,,,,,,26010.0,O. Giroud,CF,defensive_duel,,,False,False,False,,1723218252.0,,,,,,,,,,,,,,,,,1723218241.0,27.4754245,[],14.0,12.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218289,5476240,1H,1,42,00:01:42.391,103.391749,infraction,foul,57,20,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,523944,S. Beukema,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,regular_foul,26010.0,O. Giroud,CF,,,,1723218241.0,27.4754245,[],14.0,13.0,13.0,44.0,43.0,80.0,3157.0,Milan,4-3-3,,,,,
1723218253,5476240,1H,1,51,00:01:51.378,112.37897,free_kick,,45,71,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,257028,D. Calabria,RB,True,74.0,14.0,235555.0,R. Loftus-Cheek,RCMF3,49.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,0.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218260,5476240,1H,1,54,00:01:54.475,115.47571,pass,"lateral_pass, short_or_medium_pass",49,91,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,235555,R. Loftus-Cheek,RCMF3,True,-60.0,14.0,257028.0,D. Calabria,RB,55.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,1.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218261,5476240,1H,1,55,00:01:55.649,116.649105,pass,"back_pass, short_or_medium_pass, under_pressure",55,73,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,257028,D. Calabria,RB,True,165.0,15.0,235555.0,R. Loftus-Cheek,RCMF3,41.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,2.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218264,5476240,1H,1,57,00:01:57.194,118.19454,pass,"back_pass, short_or_medium_pass",41,80,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,235555,R. Loftus-Cheek,RCMF3,True,-157.0,15.0,521375.0,M. Thiaw,RCB,28.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,3.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218265,5476240,1H,1,59,00:01:59.874,120.874709,pass,"lateral_pass, short_or_medium_pass",28,70,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,521375,M. Thiaw,RCB,True,-77.0,25.0,291591.0,F. Tomori,LCB,33.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,4.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218267,5476240,1H,2,1,00:02:01.962,122.962088,pass,short_or_medium_pass,33,34,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,291591,F. Tomori,LCB,True,-73.0,11.0,344132.0,T. Hernández,LB,36.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,5.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218268,5476240,1H,2,4,00:02:04.362,125.362881,pass,"forward_pass, progressive_pass, short_or_medium_pass",36,19,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,344132,T. Hernández,LB,True,-17.0,21.0,399654.0,Rafael Leão,LWF,55.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,6.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218272,5476240,1H,2,7,00:02:07.103,128.103861,duel,"dribble, ground_duel, linkup_play, loss, offensive_duel",55,10,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,399654,Rafael Leão,LWF,,,,,,,,,,,,,,,,,282799.0,S. Posch,RB,dribble,False,False,,,False,left,1723218292.0,,,,,,,,,,,,,,,,,1723218253.0,16.0556675,"['set_piece_attack', 'free_kick']",8.0,7.0,45.0,71.0,55.0,10.0,3157.0,Milan,4-3-3,,,,,
1723218292,5476240,1H,2,7,00:02:07.765,128.765414,duel,"defensive_duel, ground_duel, recovery",45,90,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,282799,S. Posch,RB,,,,,,,,,,,,,,,,,399654.0,Rafael Leão,LWF,defensive_duel,,,True,True,False,right,1723218272.0,,,,,,,,,,,,,,,,,1723218292.0,5.670105,"['attack', 'transition_medium']",5.0,0.0,45.0,90.0,84.0,94.0,3166.0,Bologna,4-1-3-2,False,False,False,center,0.0
1723218293,5476240,1H,2,9,00:02:09.393,130.393305,touch,carry,58,88,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,541676,D. Ndoye,RAMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.827,71.0,91.0,1723218292.0,5.670105,"['attack', 'transition_medium']",5.0,1.0,45.0,90.0,84.0,94.0,3166.0,Bologna,4-1-3-2,False,False,False,center,0.0
1723218296,5476240,1H,2,11,00:02:11.794,132.794385,pass,"forward_pass, short_or_medium_pass",71,91,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,541676,D. Ndoye,RAMF,True,15.0,12.0,352096.0,N. Moro,SS,82.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218292.0,5.670105,"['attack', 'transition_medium']",5.0,2.0,45.0,90.0,84.0,94.0,3166.0,Bologna,4-1-3-2,False,False,False,center,0.0
1723218298,5476240,1H,2,13,00:02:13.202,134.202677,pass,"forward_pass, loss, short_or_medium_pass",82,96,3166,Bologna,4-1-3-2,3157,Milan,4-3-3,352096,N. Moro,SS,False,-27.0,3.0,291591.0,F. Tomori,LCB,84.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218292.0,5.670105,"['attack', 'transition_medium']",5.0,3.0,45.0,90.0,84.0,94.0,3166.0,Bologna,4-1-3-2,False,False,False,center,0.0
1723218276,5476240,1H,2,13,00:02:13.668,134.668361,interception,,16,6,3157,Milan,4-3-3,3166,Bologna,4-1-3-2,291591,F. Tomori,LCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723218292.0,5.670105,"['attack', 'transition_medium']",5.0,4.0,45.0,90.0,84.0,94.0,3166.0,Bologna,4-1-3-2,False,False,False,center,0.0
