Frame,Bbox,Score,Category_ID,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17
2,"[710.99, 260.5, 38.42, 73.43]",0.517,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(716.66, 263.84, 0.89)","(738.81, 266.91, 0.72)","(714.01, 276.12, 0.72)","(741.71, 279.43, 0.57)","(716.15, 285.92, 0.52)","(0.0, 0.0, 0.0)","(720.04, 286.59, 0.74)","(734.82, 286.96, 0.67)","(718.1, 304.78, 0.65)","(743.33, 308.17, 0.57)","(717.82, 324.24, 0.63)","(745.38, 329.89, 0.54)"
2,"[472.9, 259.05, 31.72, 67.22]",0.431,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(478.03, 264.6, 0.61)","(492.75, 262.29, 0.63)","(475.91, 278.13, 0.48)","(497.88, 274.14, 0.46)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(483.36, 287.37, 0.63)","(492.66, 286.16, 0.73)","(482.55, 306.27, 0.59)","(496.54, 304.65, 0.65)","(484.17, 322.7, 0.48)","(500.86, 322.12, 0.62)"
2,"[606.02, 262.74, 25.52, 71.29]",0.396,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(609.38, 266.67, 0.64)","(624.43, 266.31, 0.74)","(0.0, 0.0, 0.0)","(628.75, 276.46, 0.48)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(613.86, 290.78, 0.61)","(622.62, 290.03, 0.62)","(616.22, 310.44, 0.59)","(624.05, 309.16, 0.51)","(620.23, 330.55, 0.5)","(625.46, 325.49, 0.4)"
2,"[643.43, 291.35, 22.03, 70.89]",0.372,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(646.41, 294.33, 0.53)","(0.0, 0.0, 0.0)","(653.11, 306.2, 0.65)","(0.0, 0.0, 0.0)","(656.11, 320.84, 0.61)","(0.0, 0.0, 0.0)","(652.03, 320.83, 0.53)","(651.69, 318.86, 0.45)","(652.74, 337.83, 0.5)","(647.48, 336.04, 0.48)","(661.78, 358.55, 0.58)","(650.46, 355.0, 0.52)"
2,"[904.84, 279.35, 20.56, 68.05]",0.322,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(907.79, 282.3, 0.44)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(909.87, 306.86, 0.6)","(912.7, 305.99, 0.51)","(909.96, 327.4, 0.69)","(914.41, 325.55, 0.44)","(915.24, 344.15, 0.58)","(921.65, 339.83, 0.42)"
2,"[638.96, 252.53, 27.8, 33.78]",0.343,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(642.35, 257.99, 0.65)","(656.71, 255.75, 0.83)","(0.0, 0.0, 0.0)","(663.65, 267.59, 0.76)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(650.12, 282.19, 0.53)","(659.57, 281.05, 0.63)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
3,"[332.17, 347.73, 41.95, 97.01]",0.8,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(351.05, 349.91, 0.84)","(360.77, 350.37, 0.82)","(345.69, 361.38, 0.97)","(365.73, 363.15, 0.95)","(341.85, 378.31, 0.9)","(369.96, 379.16, 0.94)","(344.37, 392.22, 0.7)","(363.73, 389.88, 0.65)","(346.99, 391.7, 1.0)","(359.47, 392.95, 0.98)","(341.84, 412.28, 0.95)","(358.35, 415.97, 0.95)","(337.0, 435.54, 0.9)","(359.19, 439.73, 0.95)"
3,"[143.01, 259.39, 36.95, 84.34]",0.797,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(154.71, 261.73, 0.65)","(162.25, 261.12, 0.9)","(150.34, 272.77, 0.98)","(166.41, 270.99, 1.0)","(146.57, 289.12, 0.9)","(170.34, 284.62, 0.95)","(149.74, 300.18, 0.79)","(176.8, 294.27, 0.84)","(156.34, 296.91, 0.94)","(165.95, 295.69, 0.98)","(160.83, 317.73, 0.93)","(170.47, 315.83, 0.91)","(164.53, 339.36, 0.8)","(171.0, 337.26, 0.83)"
3,"[86.78, 300.6, 48.86, 80.26]",0.778,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(98.26, 303.66, 0.65)","(106.36, 302.3, 0.81)","(95.77, 312.37, 0.98)","(114.07, 311.02, 1.0)","(91.89, 326.1, 0.89)","(120.68, 324.84, 0.9)","(89.79, 337.17, 0.78)","(119.55, 334.74, 0.58)","(103.03, 338.04, 0.94)","(114.21, 337.59, 0.96)","(99.07, 354.94, 0.86)","(121.38, 356.77, 0.91)","(104.9, 371.13, 0.87)","(130.68, 375.91, 0.89)"
3,"[170.2, 361.98, 50.13, 93.18]",0.775,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(185.99, 365.72, 0.62)","(194.83, 363.83, 0.78)","(183.38, 376.03, 1.0)","(202.07, 372.81, 0.96)","(177.13, 391.37, 0.97)","(211.24, 385.23, 0.95)","(173.97, 402.7, 0.91)","(216.55, 397.75, 0.93)","(195.62, 403.28, 0.98)","(205.85, 400.61, 0.96)","(200.31, 426.41, 0.95)","(203.2, 423.55, 0.52)","(206.98, 449.84, 0.89)","(203.21, 445.22, 0.53)"
